Lizard Survey Data Sheet,,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Trail_Walked,Segment,Surveyors,Survey_Start_Time,Survey_End_Time,Gross_ID,Animal_ID,Family,Genus,Species,Common_Name,Time_Found_,GPS_Coordinates,Observor,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection,Distance_From_Trail_m,Height_of_Individual,Habitat_Type,Time_Window_of_Last_Rain_Event_h,Weather,Wind,Notes
,,,,,,,,,,,,,,,,,,,,,,,,
06/19/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,PUMA-02,"O,M,Jess,Amy",7:58 PM,10:50 PM,Lizard,LZ01,Anolidae,Anolis,scypheus,Yellow-tongued Anole,9:00 PM,S 00°37.7535' W 076°09.3837 ,Owen,76.3,92.3,1.75,U,Terrafirme,6,cloudy,no wind,
06/19/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,PUMA-02,"O,M,Jess,Amy",7:58 PM,10:50 PM,Lizard,LZ02,Phyllodactylidae,Thecadactylus,solimoensis,Turniptail Gecko,9:09 PM,S 00°37.7450' W 076°09.3067,Amy,77.1,92.2,0.3,U,Terrafirme,6,cloudy,no wind,
06/19/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,PUMA-02,"O,M,Jess,Amy",7:58 PM,10:50 PM,Lizard,LZ03,Anolidae,Anolis,fuscoauratus,Brown-eared Anole,9:11 PM,S 00°37.7456' W 076°09.3038',Mike,77.1,92.2,0.3,U,Terrafirme,6,cloudy,no wind,
06/19/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,GUAC-01,"O,M,Jess,Amy",7:58 PM,10:50 PM,Lizard,LZ04,Anolidae,Anolis,punctatus,Amazon Green Anole,10:44 PM,S 00°38.1895' W 076°09.0410',Mike,76.2,92.6,2.2,U,Terrafirme,6,cloudy,no wind,
06/21/24*,TBS,Matapalo-Harpia,HARP-01,"O,Ramiro",8:11 PM,9:36 PM,Lizard,LZ05,Anolidae,Anolis,scypheus,Yellow-tongued Anole,9:14 PM,S 00°38.1614' W 076°08.9317',Owen,76.3,90.5,1.7,U,Terrafirme,6,cloudy,no wind,
06/22/24,TBS,Anaconda-Lago,ANAC-01,"O,T,Jess,Amy,Adrian",8:06 PM,10:29 PM,Lizard,LZ06,Hoplocercidae,Enyalioides,laticeps,Broad-headed Wood Lizard,8:07 PM,S 00°38.2871' W 076°09.8945',Owen,85.3,78.4,1,U,Varzea,30,clear,no wind,
06/22/24,TBS,Anaconda-Lago,ANAC-01,"O,T,Jess,Amy,Adrian",8:06 PM,10:29 PM,Lizard,LZ07,Anolidae,Anolis,trachyderma,Common Forest Anole,8:09 PM,S 00°38.2860' W 076°09.8878,Owen,85.3,78.4,0.3,U,Varzea,30,clear,no wind,
06/22/24,TBS,Anaconda-Lago,LAGO-02,"O,T,Jess,Amy,Adrian",8:06 PM,10:29 PM,Lizard,LZ08,Hoplocercidae,Enyalioides,laticeps,Broad-headed Wood Lizard,8:36 PM,S 00°38.2706' W 076°09.8320',Owen,85.5,78.4,0.2,U,Varzea,30,clear,no wind,
06/22/24,TBS,Anaconda-Lago,LAGO-02,"O,T,Jess,Amy,Adrian",8:06 PM,10:29 PM,Lizard,LZ09,Anolidae,Anolis,scypheus,Yellow-tongued Anole,8:44 PM,S 00°38.2616' W 076°09.7862' ,Owen,84.1,81.5,0.1,U,Varzea,30,clear,no wind,
06/23/24,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Puentes-Murcielago-Matapalo,MAPO-03,"O,M,Ramiro",8:00 PM,10:36 PM,Lizard,LZ10,Hoplocercidae,Enyalioides,laticeps,Broad-headed Wood Lizard,8:10 PM,S 00°38.2544' W 076°08.8507',Ramiro,84.1,87.7,3,U,Terrafirme,54,clear,no wind,
06/23/24,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Puentes-Murcielago-Matapalo,MAPO-03,"O,M,Ramiro",8:00 PM,10:36 PM,Lizard,LZ11,Hoplocercidae,Enyalioides,laticeps,Broad-headed Wood Lizard,8:16 PM,S 00°38.2253' W 076°08.7834' ,Owen,81.3,89.8,1.7,G,Terrafirme,54,clear,no wind,
06/27/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,YCHO-01,"O,T",8:07 PM,11:04 PM,Lizard,LZ12,Anolidae,Anolis,scypheus,Yellow-tongued Anole,8:33 PM,S 00°40.5692' W 076°24.4881',Owen,80.5,82.8,0.7,U,Terrafirme,12,clear,no wind,
06/29/24,YRS,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,GAWA-02,"O,M,Dimitri",8:04 PM,11:19 PM,Lizard,LZ13,Anolidae,Anolis,fuscoauratus,Brown-eared Anole,8:33 PM,S 00°40.2176' W 076°23.9465',Mike,79.3,93.2,0.5,U,Terrafirme,6,clear,no wind,
06/29/24,YRS,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,GAWA-03,"O,M,Dimitri",8:04 PM,11:19 PM,Lizard,LZ14,Anolidae,Anolis,transversalis,Banded Tree Anole,9:18 PM,S 00°40.1442' W 076°24.1092',Owen,78.5,92.8,0.4,U,Varzea,12,clear,no wind,
