"Station","Survey_Type","Start_Date","Survey_Start_Time","End_Date","Survey_End_Time","Segment","Seg_dist_m","Parent_Trail_LongName","Start_Date_Start_Time","End_Date_End_Time","Effort_hrs"
"YRS","Night",2025-07-16,"8:21 PM",2025-07-16,"10:24 PM","COCA-01",301,"Coca-Ceiba-Peru-Renacuajo-Mirador",2025-07-16 20:21:00,2025-07-16 22:24:00,2.05
"YRS","Night",2025-07-16,"8:21 PM",2025-07-16,"10:24 PM","CEIB-02",463,"Coca-Ceiba-Peru-Renacuajo-Mirador",2025-07-16 20:21:00,2025-07-16 22:24:00,2.05
"YRS","Night",2025-07-16,"8:21 PM",2025-07-16,"10:24 PM","PERU-01",250,"Coca-Ceiba-Peru-Renacuajo-Mirador",2025-07-16 20:21:00,2025-07-16 22:24:00,2.05
"YRS","Night",2025-07-16,"8:21 PM",2025-07-16,"10:24 PM","RENA-01",272,"Coca-Ceiba-Peru-Renacuajo-Mirador",2025-07-16 20:21:00,2025-07-16 22:24:00,2.05
"YRS","Night",2025-07-16,"8:21 PM",2025-07-16,"10:24 PM","MIRA-01",550,"Coca-Ceiba-Peru-Renacuajo-Mirador",2025-07-16 20:21:00,2025-07-16 22:24:00,2.05
"YRS","Night",2025-07-15,"8:30 PM",2025-07-15,"10:12 PM","YCHO-01",1230,"Chorongo-Kinkajou-Napo",2025-07-15 20:30:00,2025-07-15 22:12:00,1.7
"YRS","Night",2025-07-15,"8:30 PM",2025-07-15,"10:12 PM","KINK-01",321,"Chorongo-Kinkajou-Napo",2025-07-15 20:30:00,2025-07-15 22:12:00,1.7
"YRS","Night",2025-07-15,"8:30 PM",2025-07-15,"10:12 PM","NAPO-05",243,"Chorongo-Kinkajou-Napo",2025-07-15 20:30:00,2025-07-15 22:12:00,1.7
"YRS","Night",2025-07-15,"8:30 PM",2025-07-15,"10:12 PM","NAPO-06",290,"Chorongo-Kinkajou-Napo",2025-07-15 20:30:00,2025-07-15 22:12:00,1.7
"YRS","Night",2025-07-14,"8:34 PM",2025-07-14,"10:56 PM","MIRA-04",760,"Mirador",2025-07-14 20:34:00,2025-07-14 22:56:00,2.36666666666667
"YRS","Night",2025-07-14,"8:34 PM",2025-07-14,"10:56 PM","MIRA-03",158,"Mirador",2025-07-14 20:34:00,2025-07-14 22:56:00,2.36666666666667
"YRS","Night",2025-07-14,"8:34 PM",2025-07-14,"10:56 PM","MIRA-02",592,"Mirador",2025-07-14 20:34:00,2025-07-14 22:56:00,2.36666666666667
"YRS","Night",2025-07-14,"8:34 PM",2025-07-14,"10:56 PM","MIRA-01",550,"Mirador",2025-07-14 20:34:00,2025-07-14 22:56:00,2.36666666666667
"YRS","Night",2025-07-13,"8:51 PM",2025-07-13,"10:41 PM","BOTA-01",142,"Botanico-Tinamou-Napo-Timatai-Bariso",2025-07-13 20:51:00,2025-07-13 22:41:00,1.83333333333333
"YRS","Night",2025-07-13,"8:51 PM",2025-07-13,"10:41 PM","TINA-01",65,"Botanico-Tinamou-Napo-Timatai-Bariso",2025-07-13 20:51:00,2025-07-13 22:41:00,1.83333333333333
"YRS","Night",2025-07-13,"8:51 PM",2025-07-13,"10:41 PM","TINA-02",509,"Botanico-Tinamou-Napo-Timatai-Bariso",2025-07-13 20:51:00,2025-07-13 22:41:00,1.83333333333333
"YRS","Night",2025-07-13,"8:51 PM",2025-07-13,"10:41 PM","NAPO-01",135,"Botanico-Tinamou-Napo-Timatai-Bariso",2025-07-13 20:51:00,2025-07-13 22:41:00,1.83333333333333
"YRS","Night",2025-07-13,"8:51 PM",2025-07-13,"10:41 PM","NAPO-02",419,"Botanico-Tinamou-Napo-Timatai-Bariso",2025-07-13 20:51:00,2025-07-13 22:41:00,1.83333333333333
"YRS","Night",2025-07-13,"8:51 PM",2025-07-13,"10:41 PM","TIMA-01",128,"Botanico-Tinamou-Napo-Timatai-Bariso",2025-07-13 20:51:00,2025-07-13 22:41:00,1.83333333333333
"YRS","Night",2025-07-13,"8:51 PM",2025-07-13,"10:41 PM","BARI-01",340,"Botanico-Tinamou-Napo-Timatai-Bariso",2025-07-13 20:51:00,2025-07-13 22:41:00,1.83333333333333
"YRS","Night",2025-07-11,"8:14 PM",2025-07-11,"10:40 PM","GAWA-01",272,"Gawape-Chorongo-Kinkajou",2025-07-11 20:14:00,2025-07-11 22:40:00,2.43333333333333
"YRS","Night",2025-07-11,"8:14 PM",2025-07-11,"10:40 PM","GAWA-02",650,"Gawape-Chorongo-Kinkajou",2025-07-11 20:14:00,2025-07-11 22:40:00,2.43333333333333
"YRS","Night",2025-07-11,"8:14 PM",2025-07-11,"10:40 PM","GAWA-03",692,"Gawape-Chorongo-Kinkajou",2025-07-11 20:14:00,2025-07-11 22:40:00,2.43333333333333
"YRS","Night",2025-07-11,"8:14 PM",2025-07-11,"10:40 PM","YCHO-02",691,"Gawape-Chorongo-Kinkajou",2025-07-11 20:14:00,2025-07-11 22:40:00,2.43333333333333
"YRS","Night",2025-07-11,"8:14 PM",2025-07-11,"10:40 PM","KINK-01",321,"Gawape-Chorongo-Kinkajou",2025-07-11 20:14:00,2025-07-11 22:40:00,2.43333333333333
"YRS","Night",2025-07-09,"8:45 PM",2025-07-09,"9:34 PM","COCA-01",301,"Coca-Ceiba",2025-07-09 20:45:00,2025-07-09 21:34:00,0.816666666666667
"YRS","Night",2025-07-09,"8:45 PM",2025-07-09,"9:34 PM","CEIB-02",463,"Coca-Ceiba",2025-07-09 20:45:00,2025-07-09 21:34:00,0.816666666666667
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","PANT-01",103,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","NAPO-01",135,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","NAPO-02",419,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","NAPO-03",157,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","BARI-02",183,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","TIMA-01",128,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","TINA-02",509,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","TINA-01",65,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","BOTA-02",69,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","BOTA-03",250,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","GRFI-01",96,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","BOTA-01",142,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-07,"8:26 PM",2025-07-07,"11:02 PM","TORR-01",900,"Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter",2025-07-07 20:26:00,2025-07-07 23:02:00,2.6
"YRS","Night",2025-07-07,"8:26 PM",2025-07-07,"11:02 PM","FPPE-06",69,"Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter",2025-07-07 20:26:00,2025-07-07 23:02:00,2.6
