Start_Date,Station,Effort_hrs,Segment,Seg_dist_m,Survey_Type,Parent_Trail_LongName,Height_of_Individual,n_frogs,n_sal,n_liz,n_frogs_hr,n_sal_hr,n_liz_hr,n_frogs_500m,n_sal_500m,n_liz_500m
6/26/2025,TBS,2.833333333,MAPO-01,53,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,U,0,0,1,0,0,0.352941176,0,0,9.433962264
6/11/2024,TBS,2.983333333,CHIO-03,61,Night,Numa-Chichico-Matapalo-Chichico-Numa,NA,0,0,0,0,0,0,0,0,0
6/17/2024,TBS,4.116666667,CHIO-03,61,Night,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,NA,0,0,0,0,0,0,0,0,0
7/8/2024,TBS,2.866666667,CHIO-03,61,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,NA,0,0,0,0,0,0,0,0,0
6/3/2025,TBS,2.266666667,CHIO-03,61,Night,Numa-Chichico,NA,0,0,0,0,0,0,0,0,0
6/6/2025,TBS,2.9,CHIO-03,61,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,NA,0,0,0,0,0,0,0,0,0
6/26/2025,TBS,2.833333333,CHIO-03,61,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,NA,0,0,0,0,0,0,0,0,0
6/29/2025,TBS,2.916666667,CHIO-03,61,Night,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,NA,0,0,0,0,0,0,0,0,0
7/1/2025,TBS,1.233333333,CHIO-03,61,Afternoon,Chichico,NA,0,0,0,0,0,0,0,0,0
6/27/2024,YRS,2.95,TINA-01,65,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,1,0,0,0.338983051,0,0,7.692307692,0,0
7/29/2024,YRS,2.466666667,TINA-01,65,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,U,1,0,0,0.405405405,0,0,7.692307692,0,0
6/9/2025,YRS,2.8,TINA-01,65,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,1,0,0,0.357142857,0,0,7.692307692,0,0
6/9/2025,YRS,2.8,TINA-01,65,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,U,2,0,0,0.714285714,0,0,15.38461538,0,0
7/8/2025,YRS,2.683333333,BOTA-02,69,Night,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,U,2,0,0,0.745341615,0,0,14.49275362,0,0
7/12/2025,YRS,1.533333333,FPPE-06,69,Afternoon,Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,G,1,0,0,0.652173913,0,0,7.246376812,0,0
7/2/2024,YRS,3.183333333,FPPE-03,88,Night,Forest Plot Perimeter,U,0,0,1,0,0,0.314136126,0,0,5.681818182
7/7/2025,YRS,2.6,FPPE-03,88,Night,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,U,0,2,0,0,0.769230769,0,0,11.36363636,0
8/1/2024,YRS,2.2,GRFI-01,96,Night,Tinamou-Napo-Pantano-Botanico-Gran Ficus,U,0,0,1,0,0,0.454545455,0,0,5.208333333
7/8/2025,YRS,2.683333333,GRFI-01,96,Night,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,U,0,1,1,0,0.372670807,0.372670807,0,5.208333333,5.208333333
7/8/2025,YRS,2.683333333,PANT-01,103,Night,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,U,2,1,0,0.745341615,0.372670807,0,9.708737864,4.854368932,0
6/30/2025,TBS,3.05,PUPL-05,105,Night,Puma-Puma Plot,G,1,0,0,0.327868852,0,0,4.761904762,0,0
6/30/2025,TBS,3.05,PUPL-05,105,Night,Puma-Puma Plot,U,0,0,1,0,0,0.327868852,0,0,4.761904762
7/20/2024,TBS,3.75,PUPL-12,108,Night,Puma-Puma Plot,NA,0,0,0,0,0,0,0,0,0
6/30/2025,TBS,3.05,PUPL-12,108,Night,Puma-Puma Plot,NA,0,0,0,0,0,0,0,0,0
