"Date","Survey_Type","Survey_Start_Time","Survey_End_Time","Gross_ID","Family","Species","Genus","Habitat_Type","Common_Name","Animal_ID","Station","Segment","Parent_Trail_LongName","Height_of_Individual","Start_Date_Start_Time","End_Date","End_Date_End_Time","Effort_hrs","Start_Date","Seg_dist_m"
"2025-06-03","Night","8:49 PM","11:05 PM","Frog","Leptodactylidae",NA,"Leptodactylus","Varzea","Neotropical Grass Frogs","FG243","TBS","NUMA-01","Numa-Chichico","G","2025-06-03 20:49:00","2025-06-03","2025-06-03 23:05:00",2.26666666666667,"2025-06-03",290
"2025-06-03","Night","8:49 PM","11:05 PM","Frog","Craugastoridae","quixensis","Oreobates","Varzea","Common Big-headed Frog","FG244","TBS","NUMA-01","Numa-Chichico","G","2025-06-03 20:49:00","2025-06-03","2025-06-03 23:05:00",2.26666666666667,"2025-06-03",290
"2025-06-03","Night","8:49 PM","11:05 PM","Lizard","Anolidae","scypheus","Anolis","Varzea","Yellow-tongued Anole","LZ45","TBS","NUMA-01","Numa-Chichico","U","2025-06-03 20:49:00","2025-06-03","2025-06-03 23:05:00",2.26666666666667,"2025-06-03",290
"2025-06-03","Night","8:49 PM","11:05 PM","Frog","Leptodactylidae",NA,"Leptodactylus","Varzea","Tropical Bullfrogs","FG245","TBS","CHIO-02","Numa-Chichico","G","2025-06-03 20:49:00","2025-06-03","2025-06-03 23:05:00",2.26666666666667,"2025-06-03",1000
"2025-06-03","Night","8:49 PM","11:05 PM","Frog","Leptodactylidae","andreae","Adenomera","Varzea","Cocha Chirping Frog","FG246","TBS","CHIO-02","Numa-Chichico","G","2025-06-03 20:49:00","2025-06-03","2025-06-03 23:05:00",2.26666666666667,"2025-06-03",1000
"2025-06-03","Night","8:49 PM","11:05 PM","Frog","Leptodactylidae",NA,"Leptodactylus","Varzea","Neotropical Grass Frogs","FG247","TBS","CHIO-02","Numa-Chichico","G","2025-06-03 20:49:00","2025-06-03","2025-06-03 23:05:00",2.26666666666667,"2025-06-03",1000
"2025-06-03","Night","8:49 PM","11:05 PM","Lizard","Teiidae","pelviceps","Kentropyx","Varzea","Forest Whiptail","LZ46","TBS","CHIO-02","Numa-Chichico","U","2025-06-03 20:49:00","2025-06-03","2025-06-03 23:05:00",2.26666666666667,"2025-06-03",1000
"2025-06-03","Night","8:49 PM","11:05 PM","Frog","Leptodactylidae",NA,"Adenomera","Varzea","Tropical Bullfrogs","FG248","TBS","CHIO-02","Numa-Chichico","G","2025-06-03 20:49:00","2025-06-03","2025-06-03 23:05:00",2.26666666666667,"2025-06-03",1000
"2025-06-03","Night","8:49 PM","11:05 PM","Frog","Hylidae","yasuni","Osteocephalus","Varzea","Yasuni Spiny-backed Treefrog","FG249","TBS","CHIO-02","Numa-Chichico","U","2025-06-03 20:49:00","2025-06-03","2025-06-03 23:05:00",2.26666666666667,"2025-06-03",1000
"2025-06-03","Night","8:49 PM","11:05 PM","Frog","Bufonidae","guttatus","Rhaebo","Terrafirme","Smooth-sided Toad","FG250","TBS","CHIO-01","Numa-Chichico","G","2025-06-03 20:49:00","2025-06-03","2025-06-03 23:05:00",2.26666666666667,"2025-06-03",609
"2025-06-03","Night","8:49 PM","11:05 PM","Frog","Leptodactylidae",NA,"Leptodactylus","Terrafirme","Neotropical Grass Frogs","FG251","TBS","CHIO-01","Numa-Chichico","G","2025-06-03 20:49:00","2025-06-03","2025-06-03 23:05:00",2.26666666666667,"2025-06-03",609
"2025-06-03","Night","8:49 PM","11:05 PM","Frog","Craugastoridae","quixensis","Oreobates","Varzea","Common Big-headed Frog","FG252","TBS","CHIO-01","Numa-Chichico","G","2025-06-03 20:49:00","2025-06-03","2025-06-03 23:05:00",2.26666666666667,"2025-06-03",609
"2025-06-03","Night","8:49 PM","11:05 PM","Lizard","Anolidae","scypheus","Anolis","Varzea","Yellow-tongued Anole","LZ47","TBS","CHIO-01","Numa-Chichico","U","2025-06-03 20:49:00","2025-06-03","2025-06-03 23:05:00",2.26666666666667,"2025-06-03",609
"2025-06-04","Night","8:12 PM","10:32 PM","Frog","Hylidae",NA,"Boana","Varzea","Gladiator Treefrogs","FG253","TBS","ANAC-01","Anaconda-Lago","U","2025-06-04 20:12:00","2025-06-04","2025-06-04 22:32:00",2.33333333333333,"2025-06-04",388
"2025-06-04","Night","8:12 PM","10:32 PM","Frog","Craugastoridae","quixensis","Oreobates","Varzea","Common Big-headed Frog","FG254","TBS","ANAC-01","Anaconda-Lago","G","2025-06-04 20:12:00","2025-06-04","2025-06-04 22:32:00",2.33333333333333,"2025-06-04",388
"2025-06-04","Night","8:12 PM","10:32 PM","Frog","Craugastoridae","quixensis","Oreobates","Varzea","Common Big-headed Frog","FG255","TBS","LAGO-02","Anaconda-Lago","G","2025-06-04 20:12:00","2025-06-04","2025-06-04 22:32:00",2.33333333333333,"2025-06-04",1450
"2025-06-04","Night","8:12 PM","10:32 PM","Salamander","Plethodontidae","altamazonica","Bolitoglossa","Varzea","Amazon Climbing Salamander","SL23","TBS","LAGO-02","Anaconda-Lago","U","2025-06-04 20:12:00","2025-06-04","2025-06-04 22:32:00",2.33333333333333,"2025-06-04",1450
"2025-06-04","Night","8:12 PM","10:32 PM","Lizard","Anolidae","fuscoauratus","Anolis","Varzea","Brown-eared Anole","LZ48","TBS","LAGO-02","Anaconda-Lago","U","2025-06-04 20:12:00","2025-06-04","2025-06-04 22:32:00",2.33333333333333,"2025-06-04",1450
"2025-06-04","Night","8:12 PM","10:32 PM","Lizard","Anolidae","punctatus","Anolis","Varzea","Amazon Green Anole","LZ49","TBS","LAGO-02","Anaconda-Lago","U","2025-06-04 20:12:00","2025-06-04","2025-06-04 22:32:00",2.33333333333333,"2025-06-04",1450
