"Start_Date","Effort_hrs","Meters"
2025-07-16,1.55,1836
2025-07-15,1.51666666666667,2084
2025-07-14,2.15,2060
2025-07-13,1.61666666666667,1738
2025-07-11,2.03333333333333,2626
2025-07-09,0.666666666666667,764
2025-07-08,1.81666666666667,2256
2025-07-07,2.18333333333333,2572
2025-07-06,2.2,2606
2025-07-05,2.23333333333333,2628
2025-07-04,3.05,3561
2025-07-02,2.31666666666667,2557
2025-07-01,2.3,2703
2025-06-30,2.38333333333333,2826
2025-06-29,2.53333333333333,3004
2025-06-28,2.13333333333333,2638
2025-06-27,1.71666666666667,1841
2025-06-26,2.3,2768
2025-06-25,2.1,2703
2025-06-23,2.4,2819
2025-06-21,2.9,3522
2025-06-20,2.3,2638
2025-06-18,1.7,2060
2025-06-17,2.85,3561
2025-06-15,2.33333333333333,2572
2025-06-14,1.86666666666667,2256
2025-06-12,2.36666666666667,3332
2025-06-10,2.01666666666667,2213
2025-06-09,2.13333333333333,2501
2025-06-07,2.08333333333333,1841
2025-06-06,2.2,2305
2025-06-04,1.86666666666667,1838
2025-06-03,1.88333333333333,1960
2024-08-01,1.96666666666667,1646
2024-07-31,3,2110
2024-07-29,2.25,2501
2024-07-28,2.93333333333333,2213
2024-07-26,2.76666666666667,3332
2024-07-25,2.03333333333333,2572
2024-07-23,2.1,1646
2024-07-20,2.83333333333333,3217
2024-07-18,2.51666666666667,2926
2024-07-17,2.76666666666667,2772
2024-07-15,3,1838
2024-07-14,3,2703
2024-07-11,2.75,2638
2024-07-10,2.71666666666667,1841
2024-07-08,2.81666666666667,2790
2024-07-06,2.86666666666667,3561
2024-07-04,2.66666666666667,2501
2024-07-03,2.46666666666667,2213
2024-07-02,3,3561
2024-06-29,3.1,3332
2024-06-27,2.73333333333333,2501
2024-06-23,2.6,1956
2024-06-22,2.38333333333333,2557
2024-06-21,1.41666666666667,706
2024-06-19,2.86666666666667,2868
2024-06-17,3.01666666666667,2600
2024-06-13,2.91666666666667,1841
2024-06-11,2.98333333333333,2648
