Date,Station,Survey_Type,Trail_Walked,Segment,Surveyors,Survey_Start_Time,Survey_End_Time,Gross_ID,Animal_ID,Family,Species,Common_Name,Time_Found,GPS_Coordinates,Observor,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection,Distance_From_Trail_m,Height_of_Individual,Habitat_Type,Time_Window_of_Last_Rain_Event_h,Weather,Wind,Diet_Type,Primary_Diet_Component,Size,Notes,,
6/3/25,TBS,Night,Numa-Chichico,NUMA-01,"O,J",8:49 PM,11:05 PM,Frog,FG243,Leptodactylidae,Leptodactylus spp.,Neotropical Grass Frogs,8:50 PM,S 00º38.3224' W 076º08.9394',Owen,78.9,93.8,0.1,G,Varzea,18,partly cloudy,no wind,,,,,,
6/3/25,TBS,Night,Numa-Chichico,NUMA-01,"O,J",8:49 PM,11:05 PM,Frog,FG244,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,8:57 PM,S 00º38.3543' W 076º08.9390',Owen,79.8,86.9,0.2,G,Varzea,18,partly cloudy,no wind,,,,,,
6/3/25,TBS,Night,Numa-Chichico,NUMA-01,"O,J",8:49 PM,11:05 PM,Lizard,LZ45,Anolidae,Anolis scypheus,Yellow-tongued Anole,9:01 PM,S 00º38.3743' W 076º08.9401',Owen,79.9,86.1,0.8,U,Varzea,18,partly cloudy,no wind,,,,,"primarily of invertebrates such as grasshoppers, katydids, roaches, insect larvae, spiders, and isopods, but may as well include lizards (such as A. trachyderma and Loxopholis parietalis).",
6/3/25,TBS,Night,Numa-Chichico,CHIO-02,"O,J",8:49 PM,11:05 PM,Frog,FG245,Leptodactylidae,Leptodactylus spp.,Tropical Bullfrogs,9:29 PM,S 00º38.4466' W 076º08.9361',Owen,80.2,87.2,0,G,Varzea,18,partly cloudy,no wind,,,,,,
6/3/25,TBS,Night,Numa-Chichico,CHIO-02,"O,J",8:49 PM,11:05 PM,Frog,FG246,Leptodactylidae,Adenomera andreae,Cocha Chirping Frog,9:32 PM,S 00º38.4604' W 076º08.9273',Jacob,80.2,87.2,0.2,G,Varzea,18,partly cloudy,no wind,,,,,,
6/3/25,TBS,Night,Numa-Chichico,CHIO-02,"O,J",8:49 PM,11:05 PM,Frog,FG247,Leptodactylidae,Leptodactylus spp.,Neotropical Grass Frogs,9:52 PM,S 00º38.5950' W 076º08.8861',Owen,79.4,87.5,0,G,Varzea,18,partly cloudy,no wind,,,,,,
6/3/25,TBS,Night,Numa-Chichico,CHIO-02,"O,J",8:49 PM,11:05 PM,Lizard,LZ46,Teiidae,Kentropyx pelviceps,Forest Whiptail,10:16 PM,S 00º38.6233' W 076º08.6903',Owen,79.2,90.4,0.6,U,Varzea,18,partly cloudy,no wind,,,,,"mostly arthropods, but also frogs and lizards",snakes
6/3/25,TBS,Night,Numa-Chichico,CHIO-02,"O,J",8:49 PM,11:05 PM,Frog,FG248,Leptodactylidae,Adenomera spp.,Tropical Bullfrogs,10:19 PM,S 00º38.6175' W 076º08.6810',Jacob,79.2,90.4,0.3,G,Varzea,18,partly cloudy,no wind,,,,,,
6/3/25,TBS,Night,Numa-Chichico,CHIO-02,"O,J",8:49 PM,11:05 PM,Frog,FG249,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,10:27 PM,S 00º38.5961' W 076º08.6449',Jacob,79.1,85.2,0.1,U,Varzea,18,partly cloudy,no wind,,,,,,
6/3/25,TBS,Night,Numa-Chichico,CHIO-01,"O,J",8:49 PM,11:05 PM,Frog,FG250,Bufonidae,Rhaebo guttatus,Smooth-sided Toad,10:39 PM,S 00º38.5352' W 076º08.6810',Owen,80.5,85.9,0,G,Terrafirme,18,partly cloudy,no wind,,,,,,
6/3/25,TBS,Night,Numa-Chichico,CHIO-01,"O,J",8:49 PM,11:05 PM,Frog,FG251,Leptodactylidae,Leptodactylus spp.,Neotropical Grass Frogs,10:43 PM,S 00º38.5054' W 076º08.6859',Owen,80.5,85.9,0.2,G,Terrafirme,18,partly cloudy,no wind,,,,,,
6/3/25,TBS,Night,Numa-Chichico,CHIO-01,"O,J",8:49 PM,11:05 PM,Frog,FG252,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,10:54 PM,S 00º38.4699' W 076º08.7179',Jacob,80.1,89.8,0,G,Varzea,18,partly cloudy,no wind,,,,,,
6/3/25,TBS,Night,Numa-Chichico,CHIO-01,"O,J",8:49 PM,11:05 PM,Lizard,LZ47,Anolidae,Anolis scypheus,Yellow-tongued Anole,10:58 PM,S 00º38.4596' W 076º08.7500',Owen,80.1,89.8,0,U,Varzea,18,partly cloudy,no wind,,,,,,
6/4/25,TBS,Night,Anaconda-Lago,ANAC-01,"O,J,T",8:12 PM,10:32 PM,Frog,FG253,Hylidae,Boana spp.,Gladiator Treefrogs,8:34 PM,S 00º38.1713' W 076º09.8557',Jacob,80.7,83,1.8,U,Varzea,6,cloudy,no wind,,,,,,
6/4/25,TBS,Night,Anaconda-Lago,ANAC-01,"O,J,T",8:12 PM,10:32 PM,Frog,FG254,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,8:36 PM,S 00º38.1464' W 076º09.8633',Owen,80.7,83,0.3,G,Varzea,6,cloudy,no wind,,,,,,
6/4/25,TBS,Night,Anaconda-Lago,LAGO-02,"O,J,T",8:12 PM,10:32 PM,Frog,FG255,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,9:05 PM,S 00º38.2445' W 076º09.7530',Owen,79.1,85.7,0,G,Varzea,6,cloudy,no wind,,,,,,
6/4/25,TBS,Night,Anaconda-Lago,LAGO-02,"O,J,T",8:12 PM,10:32 PM,Salamander,SL23,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,9:28 PM,S 00º38.2549' W 076º09.6077',Therese,79.8,85.7,0.5,U,Varzea,6,cloudy,no wind,,,,,,
6/4/25,TBS,Night,Anaconda-Lago,LAGO-02,"O,J,T",8:12 PM,10:32 PM,Lizard,LZ48,Anolidae,Anolis fuscoauratus,Brown-eared Anole,9:28 PM,S 00º38.2541' W 076º09.6073',Therese,79.8,85.7,0.5,U,Varzea,6,cloudy,no wind,,,,,"feeds primarily on spiders, beetles, and crickets, 11,13 but also on at least 20 other prey items.","snakes,7,16-18 birds,? whiptail liz-ards, 19 spiders,20 and whipscorpions.21 Roaches have been observed feeding on the tears of an A. fuscoauratus.22"
6/4/25,TBS,Night,Anaconda-Lago,LAGO-02,"O,J,T",8:12 PM,10:32 PM,Lizard,LZ49,Anolidae,Anolis punctatus,Amazon Green Anole,9:43 PM,S 00º38.2511' W 076º09.5209',Jacob,79.3,85.4,4,U,Varzea,6,cloudy,no wind,,,,," The diet of A. punctatus is based primarily on grass-hoppers, ants, beetles, and roaches, but also includes at least 16 additional prey","documented instances of predation on individuals of this species by the snake Imantodes cenchoa.?,12"
6/4/25,TBS,Night,Anaconda-Lago,LAGO-02,"O,J,T",8:12 PM,10:32 PM,Frog,FG256,Hylidae,Osteocephalus fuscifacies,Tan-faced Spiny-backed Frog,9:58 PM,S 00º38.3013' W 076º09.4445',Therese,80.5,87.8,1.1,U,Varzea,6,cloudy,no wind,,,,,,
