Date,Station,Survey_Type,Segment,Survey_Start_Time,Survey_End_Time,Gross_ID,Animal_ID,Family,Species,Common_Name,Habitat_Type
6/3/2025,TBS,Night,NUMA-01,8:49 PM,11:05 PM,Frog,FG243,Leptodactylidae,Leptodactylus spp.,Neotropical Grass Frogs,Varzea
6/3/2025,TBS,Night,NUMA-01,8:49 PM,11:05 PM,Frog,FG244,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Varzea
6/3/2025,TBS,Night,NUMA-01,8:49 PM,11:05 PM,Lizard,LZ45,Anolidae,Anolis scypheus,Yellow-tongued Anole,Varzea
6/3/2025,TBS,Night,CHIO-02,8:49 PM,11:05 PM,Frog,FG245,Leptodactylidae,Leptodactylus spp.,Tropical Bullfrogs,Varzea
6/3/2025,TBS,Night,CHIO-02,8:49 PM,11:05 PM,Frog,FG246,Leptodactylidae,Adenomera andreae,Cocha Chirping Frog,Varzea
6/3/2025,TBS,Night,CHIO-02,8:49 PM,11:05 PM,Frog,FG247,Leptodactylidae,Leptodactylus spp.,Neotropical Grass Frogs,Varzea
6/3/2025,TBS,Night,CHIO-02,8:49 PM,11:05 PM,Lizard,LZ46,Teiidae,Kentropyx pelviceps,Forest Whiptail,Varzea
6/3/2025,TBS,Night,CHIO-02,8:49 PM,11:05 PM,Frog,FG248,Leptodactylidae,Adenomera spp.,Tropical Bullfrogs,Varzea
6/3/2025,TBS,Night,CHIO-02,8:49 PM,11:05 PM,Frog,FG249,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Varzea
6/3/2025,TBS,Night,CHIO-01,8:49 PM,11:05 PM,Frog,FG250,Bufonidae,Rhaebo guttatus,Smooth-sided Toad,Terrafirme
6/3/2025,TBS,Night,CHIO-01,8:49 PM,11:05 PM,Frog,FG251,Leptodactylidae,Leptodactylus spp.,Neotropical Grass Frogs,Terrafirme
6/3/2025,TBS,Night,CHIO-01,8:49 PM,11:05 PM,Frog,FG252,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Varzea
6/3/2025,TBS,Night,CHIO-01,8:49 PM,11:05 PM,Lizard,LZ47,Anolidae,Anolis scypheus,Yellow-tongued Anole,Varzea
6/4/2025,TBS,Night,ANAC-01,8:12 PM,10:32 PM,Frog,FG253,Hylidae,Boana spp.,Gladiator Treefrogs,Varzea
6/4/2025,TBS,Night,ANAC-01,8:12 PM,10:32 PM,Frog,FG254,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Varzea
6/4/2025,TBS,Night,LAGO-02,8:12 PM,10:32 PM,Frog,FG255,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Varzea
6/4/2025,TBS,Night,LAGO-02,8:12 PM,10:32 PM,Salamander,SL23,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Varzea
6/4/2025,TBS,Night,LAGO-02,8:12 PM,10:32 PM,Lizard,LZ48,Anolidae,Anolis fuscoauratus,Brown-eared Anole,Varzea
6/4/2025,TBS,Night,LAGO-02,8:12 PM,10:32 PM,Lizard,LZ49,Anolidae,Anolis punctatus,Amazon Green Anole,Varzea
6/4/2025,TBS,Night,LAGO-02,8:12 PM,10:32 PM,Frog,FG256,Hylidae,Osteocephalus fuscifacies,Tan-faced Spiny-backed Frog,Varzea
6/4/2025,TBS,Night,LAGO-02,8:12 PM,10:32 PM,Lizard,LZ50,Tropiduridae,Plica plica,Collared Treerunner,Varzea
6/4/2025,TBS,Night,LAGO-02,8:12 PM,10:32 PM,Frog,FG257,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Varzea
6/5/2024,TBS,Afternoon,TCHO-02,2:20 PM,3:57 PM,Frog,FG258,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
6/5/2024,TBS,Afternoon,TCHO-02,2:20 PM,3:57 PM,Frog,FG259,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
6/5/2024,TBS,Afternoon,TCHO-02,2:20 PM,3:57 PM,Frog,FG260,Aromobatidae,Allobates femoralis,Spotted-thighed Poison Frog,Terrafirme
6/5/2024,TBS,Afternoon,TCHO-02,2:20 PM,3:57 PM,Frog,FG261,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
6/5/2024,TBS,Afternoon,TCHO-02,2:20 PM,3:57 PM,Lizard,LZ51,Teiidae,Kentropyx pelviceps,Forest Whiptail,Terrafirme
6/5/2024,TBS,Afternoon,TCHO-02,2:20 PM,3:57 PM,Frog,FG262,Aromobatidae,Allobates femoralis,Spotted-thighed Poison Frog,Terrafirme
6/5/2024,TBS,Afternoon,TCHO-02,2:20 PM,3:57 PM,Lizard,LZ52,Teiidae,Kentropyx pelviceps,Forest Whiptail,Terrafirme
6/5/2024,TBS,Afternoon,MATA-01,2:20 PM,3:57 PM,Lizard,LZ53,Teiidae,Kentropyx pelviceps,Forest Whiptail,Varzea
6/5/2024,TBS,Afternoon,MATA-01,2:20 PM,3:57 PM,Lizard,LZ54,Teiidae,Kentropyx pelviceps,Forest Whiptail,Varzea
6/6/2025,TBS,Night,MAPO-02,8:08 PM,11:02 PM,Frog,FG263,Hylidae,Osteocephalus spp.,Broad-headed Treefrogs,Terrafirme
6/6/2025,TBS,Night,MAPO-03,8:08 PM,11:02 PM,Frog,FG264,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Terrafirme
6/6/2025,TBS,Night,MAPO-03,8:08 PM,11:02 PM,Salamander,SL24,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Terrafirme
6/6/2025,TBS,Night,MAPO-03,8:08 PM,11:02 PM,Lizard,LZ55,Anolidae,Anolis fuscoauratus,Brown-eared Anole,Terrafirme
