"Station","Start_Date","Number_of_Small_Mammals_Spotted","Parent_Trail_LongName","Meters","Effort_hrs","smammals.hr","smamm.500m"
"YRS",2025-07-16,5,"Coca-Ceiba-Peru-Renacuajo-Mirador",1836,1.55,3.2258064516129,1.36165577342048
"YRS",2025-07-15,5,"Chorongo-Kinkajou-Napo",2084,1.51666666666667,3.2967032967033,1.19961612284069
"YRS",2025-07-14,10,"Mirador",2060,2.15,4.65116279069767,2.42718446601942
"YRS",2025-07-13,3,"Botanico-Tinamou-Napo-Timatai-Bariso",1738,1.61666666666667,1.85567010309278,0.863060989643268
"YRS",2025-07-11,5,"Gawape-Chorongo-Kinkajou",2626,2.03333333333333,2.45901639344262,0.952018278750952
"YRS",2025-07-09,2,"Coca-Ceiba",764,0.666666666666667,3,1.30890052356021
"YRS",2025-07-08,5,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2256,1.81666666666667,2.75229357798165,1.10815602836879
"YRS",2025-07-07,7,"Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter",2572,2.18333333333333,3.20610687022901,1.36080870917574
"YRS",2025-07-06,8,"Chorongo-Kinkajou-Napo-Tucan-Garza-Napo",2606,2.2,3.63636363636364,1.53491941673062
"YRS",2025-07-05,6,"Coca-Ceiba-Peru-Tiputini-Peru",2628,2.23333333333333,2.6865671641791,1.14155251141552
"YRS",2025-07-04,3,"Forest Plot Perimeter",3561,3.05,0.983606557377049,0.4212299915754
"TBS",2025-07-02,1,"Anaconda-Lago",2557,2.31666666666667,0.431654676258993,0.195541650371529
"TBS",2025-07-01,1,"Harpia Plot-Harpia",2703,2.3,0.434782608695652,0.184979652238254
"TBS",2025-06-30,0,"Puma-Puma Plot",2826,2.38333333333333,0,0
"TBS",2025-06-29,2,"Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa",3004,2.53333333333333,0.789473684210526,0.33288948069241
"TBS",2025-06-28,0,"Guacamayo-Puma-Harpia-Chorongo",2638,2.13333333333333,0,0
"TBS",2025-06-27,2,"Guacamayo-Danta-Lago",1841,1.71666666666667,1.16504854368932,0.543183052688756
"TBS",2025-06-26,3,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2768,2.3,1.30434782608696,0.541907514450867
"TBS",2025-06-25,1,"Harpia Plot-Harpia",2703,2.1,0.476190476190476,0.184979652238254
"TBS",2025-06-23,3,"Puma-Puma Plot",2819,2.4,1.25,0.532103582830791
"TBS",2025-06-21,0,"Parahuaco",3522,2.9,0,0
"TBS",2025-06-20,4,"Guacamayo-Puma-Harpia-Chorongo",2638,2.3,1.73913043478261,0.758150113722517
"YRS",2025-06-18,6,"Mirador",2060,1.7,3.52941176470588,1.45631067961165
"YRS",2025-06-17,5,"Forest Plot Perimeter",3561,2.85,1.75438596491228,0.702049985959
"YRS",2025-06-15,5,"Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter",2572,2.33333333333333,2.14285714285714,0.972006220839813
"YRS",2025-06-14,7,"Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus",2256,1.86666666666667,3.75,1.55141843971631
"YRS",2025-06-12,9,"Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza",3332,2.36666666666667,3.80281690140845,1.35054021608643
"YRS",2025-06-10,7,"Ceiba-Peru",2213,2.01666666666667,3.47107438016529,1.58156348847718
"YRS",2025-06-09,4,"Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico",2501,2.13333333333333,1.875,0.79968012794882
"TBS",2025-06-07,2,"Guacamayo-Danta-Lago",1841,2.08333333333333,0.96,0.543183052688756
