Start_Date,End_Date,Station,Parent_Trail_LongName,Segment,Survey_Start_Time,Survey_End_Time,Surveyors,Parent_Trail,Seg_dist_m,Snake_ID,Distance_From_Trail_m,Diet_Type,Diet_Type_3categories,Family,Genus,Species,Common_Name,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection
7/16/2025,7/16/2025,YRS,Coca-Ceiba-Peru-Renacuajo-Mirador,COCA-01,8:21 PM,10:24 PM,"O,J,JP",Coca,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/16/2025,7/16/2025,YRS,Coca-Ceiba-Peru-Renacuajo-Mirador,CEIB-02,8:21 PM,10:24 PM,"O,J,JP",Ceiba,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/16/2025,7/16/2025,YRS,Coca-Ceiba-Peru-Renacuajo-Mirador,PERU-01,8:21 PM,10:24 PM,"O,J,JP",Peru,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/16/2025,7/16/2025,YRS,Coca-Ceiba-Peru-Renacuajo-Mirador,MIRA-01,8:21 PM,10:24 PM,"O,J,JP",Mirador,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/15/2025,7/15/2025,YRS,Chorongo-Kinkajou-Napo,YCHO-01,8:30 PM,10:12 PM,"O,J,JP,Nora",Chorongo,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/15/2025,7/15/2025,YRS,Chorongo-Kinkajou-Napo,KINK-01,8:30 PM,10:12 PM,"O,J,JP,Nora",Kinkajou,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/15/2025,7/15/2025,YRS,Chorongo-Kinkajou-Napo,NAPO-05,8:30 PM,10:12 PM,"O,J,JP,Nora",Napo,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/15/2025,7/15/2025,YRS,Chorongo-Kinkajou-Napo,NAPO-06,8:30 PM,10:12 PM,"O,J,JP,Nora",Napo,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/14/2025,7/14/2025,YRS,Mirador,MIRA-03,8:34 PM,10:56 PM,"O,J,JP",Mirador,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/14/2025,7/14/2025,YRS,Mirador,MIRA-02,8:34 PM,10:56 PM,"O,J,JP",Mirador,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/13/2025,7/13/2025,YRS,Botanico-Tinamou-Napo-Timatai-Bariso,BOTA-01,8:51 PM,10:41 PM,"O,J,JP,Dillon",Botanico,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/13/2025,7/13/2025,YRS,Botanico-Tinamou-Napo-Timatai-Bariso,TINA-01,8:51 PM,10:41 PM,"O,J,JP,Dillon",Tinamou,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/13/2025,7/13/2025,YRS,Botanico-Tinamou-Napo-Timatai-Bariso,TINA-02,8:51 PM,10:41 PM,"O,J,JP,Dillon",Tinamou,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/13/2025,7/13/2025,YRS,Botanico-Tinamou-Napo-Timatai-Bariso,NAPO-01,8:51 PM,10:41 PM,"O,J,JP,Dillon",Napo,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/13/2025,7/13/2025,YRS,Botanico-Tinamou-Napo-Timatai-Bariso,NAPO-02,8:51 PM,10:41 PM,"O,J,JP,Dillon",Napo,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/13/2025,7/13/2025,YRS,Botanico-Tinamou-Napo-Timatai-Bariso,TIMA-01,8:51 PM,10:41 PM,"O,J,JP,Dillon",Timatai,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
