,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environment Data Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Trail_Walked,Survey_Start_Time,Survey_End_Time,Survey Zone,Notes,Searching_Time,Surveyors,Understory_Density_1,Understory_Density_2,Understory_Density_3,Understory_Density_4,Understory_Density_5,Understory_Density_6,Understory_Density_7,Understory_Density_8,Understory_Density_9,Understory_Density_10,Understory_Density_11,Understory_Density_12,Understory_Density_13, Temperature_1, Temperature_2, Temperature_3, Temperature_4, Temperature_5, Temperature_6, Temperature_7,Humidity_1,Humidity_2,Humidity_3,Humidity_4,Humidity_5,Humidity_6,Humidity_7,Number_of_Small_Mammals_Spotted,Number_of_Water_Bodies_Spotted
06/11/24*,TBS,Numa-Chichico-Matapalo,8:37 PM,11:36 PM,Matapalo Zone,,2:59,"O,M,T,A",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
06/13/24,TBS,Guacamayo-Danta-Lago,8:59 PM,11:54 PM,Danta Zone,timer stopped @ recorded data,2:55,"O,M,T",0,1,0,8,2,3,9,9,1,4,8,7,,81.6,82,83.7,80.2,83,80.8,,80.4,83.4,73.9,84.7,79.8,85.2,,0,5
06/17/24,TBS,Matapalo-Torre-Murcielago-Matapalo-Numa,8:04 PM,12:11 AM,Matapalo Zone,timer stopped @ recorded data,3:01,"O,T",1,7,12,3,4,1,8,4,3,3,7,2,2,80.2,79.5,78.6,79,78.8,78.1,78.4,83.7,92,90.5,88.3,88.4,89.8,89.4,1,3
06/19/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,7:58 PM,10:50 PM,Chorongo Zone,,2:52,"O,M,Jess,Amy",0,5,8,2,8,0,2,3,5,2,3,4,,77,76.4,76.3,76.6,76.4,77.2,,90.5,93,92.3,93.7,92.1,91.6,,2,3
06/21/24*,TBS,Matapalo-Harpia,8:11 PM,9:36 PM,Matapalo Zone,,1:25,"O,Ramiro",3,3,4,1,2,,,,,,,,,75.4,77.2,76.3,,,,,94.7,91.1,90.5,,,,,1,1
06/22/24,TBS,Anaconda-Lago,8:06 PM,10:29 PM,Lago Zone,,2:23,"O,T,Jess,Amy,Adrian",3,0,1,2,4,7,3,4,1,4,,,,85.3,84.1,83.1,83,77.6,,,78.4,81.5,79.7,78.9,90.1,,,2,5
06/23/24,TBS,Matapalo-Murcielago-Murcielago Pond,8:00 PM,10:36 PM,Matapalo Zone,,2:36,"O,M,Ramiro",1,3,8,1,1,7,5,5,1,5,2,,,79.2,80.3,80.5,79.9,79.3,78.4,,92.3,89.8,89,90.5,90.1,91.8,,1,2
06/27/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,8:07 PM,11:04 PM,West Zone,timer stopped @ recorded data,2:44,"O,T",2,3,0,2,1,2,4,2,2,1,3,0,,83.4,78,77.7,77.5,77.2,77.8,,76,86.3,86,86.5,87,85.8,,2,6
06/29/24,YRS,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,8:04 PM,11:19 PM,Gawape Zone,timer stopped @ recorded data,3:06,"O,M,Dimitri",3,2,4,2,2,4,0,4,4,6,3,2,1,81.1,79.3,78.5,80.3,79.6,78.6,77.1,88,93.2,92.8,91.1,92.5,93.1,94.5,7,6
07/02/24,YRS,Forest Plot Perimeter,8:00 PM,11:11 PM,Forest Plot Zone,timer stopped @ recorded data,3:00,"O,T",2,0,2,1,2,3,2,2,0,1,1,2,5,79.5,80.1,78,79.1,80.5,79.1,78.7,83.4,86,87.5,85.3,82.3,85.4,90,8,5
