Snake Survey Data Sheet,,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Trail_Walked,Segment,Surveyors,Survey_Start_Time,Survey_End_Time,Reptile_ID,Family,Species,Common_Name,Time_Found_,GPS_Coordinates,Observor,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection,Distance_From_Trail_m,Height_of_Individual,Habitat_Type,Time_Window_of_Last_Rain_Event_h,Weather,Wind,Diet_Type,Primary_Diet_Component,Notes
,,,,,,,,,,,,,,,,,,,,,,,,
06/11/24*,TBS,"Numa-Chichico-Matapalo, Chichico, Numa",MAPO-06,"O,M,T,A",8:37 PM,11:36 PM,SK0,Colubridae,Xenoxybelis argenteus,Striped Sharpnose Snake,10:14 PM,S 00°38.5950'  W 076°08.7456',Mike,,,6,U,Varzea,12,cloudy,no wind,no mammals,lizards,
06/11/24*,TBS,"Numa-Chichico-Matapalo, Chichico, Numa",NUMA-01,"O,M,T,A",8:37 PM,11:36 PM,SK00,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,11:13 PM,S 00°38.3980' W 076°08.9387',Mike,,,0.5,U,Varzea,12,cloudy,no wind,no mammals,lizards,
6/13/24,TBS,Guacamayo-Danta-Lago,LAGO-01,"O,M,T",8:59 PM,11:54 PM,SK01,Colubridae,Dipsas catesbyi,Catesby's Snail Eater,10:33 PM,S 00°38.324' W 076°09.224',Mike,80.8,83.7,3.5,U,Varzea,6,partly cloudy,no wind,no mammals,arthropods,rain at end of survey
6/13/24,TBS,Guacamayo-Danta-Lago,LAGO-01,"O,M,T",8:59 PM,11:54 PM,SK02,Colubridae,Dipsas catesbyi,Catesby's Snail Eater,11:07 PM,S 00°38.3868' W 076°09.2344',Mike,83,79.8,0.5,U,Varzea,6,partly cloudy,no wind,no mammals,arthropods,rain at end of survey
6/17/24,TBS,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,MAPO-03,"O,T",8:04 PM,12:11 AM,SK03,Colubridae,Oxyrhopus petolarius,Forest Flame Snake,8:47 PM,S 00°38.2292' W 076°08.7913',Owen,79.3,93.2,0,G,Terrafirme,24,clear,no wind,mixed,mixed,
6/17/24,TBS,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,MAPO-02,"O,T",8:04 PM,12:11 AM,SK04,Colubridae,Drepanoides anomalus,Black-collared Snake,11:51 PM,S 00°38.2159' W 076°08.8751',Owen,77.2,91.6,2,U,Terrafirme,24,clear,no wind,no mammals,eggs,
6/17/24,TBS,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,MAPO-02,"O,T",8:04 PM,12:11 AM,SK05,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,11:59 PM,S 00°38.2150' W 076°08.8750',Owen,77.2,91.6,3,U,Varzea,24,clear,no wind,no mammals,lizards,
6/19/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,PUMA-01,"O,M,Jess,Amy",7:58 PM,10:50 PM,SK06,Colubridae,Chironius multiventris,South American Sipo,8:31 PM,S 00°37.9299' W 076°09.3697',Owen,76.9,92.2,2,U,Terrafirme,6,cloudy,no wind,no mammals,frogs,
6/22/24,TBS,Anaconda-Lago,LAGO-02,"O,T,Jess,Amy,Adrian",8:06 PM,10:29 PM,SK07,Colubridae,Siphlophis cervinus,Panama Spotted Nightsnake,9:21 PM,S 00°38.2567' W 076°09.5111',Owen,83.1,79.7,1.75,U,Varzea,30,clear,no wind,no mammals,lizards,
6/22/24,TBS,Anaconda-Lago,LAGO-01,"O,T,Jess,Amy,Adrian",8:06 PM,10:29 PM,SK08,Colubridae,Dipsas catesbyi,Catesby's Snail Eater,10:03 PM,S 00°38.3870' W 076°09.2314',Adrian,83.2,83.5,1.3,U,Varzea,30,clear,no wind,no mammals,arthropods,
6/22/24,TBS,Anaconda-Lago,LAGO-01,"O,T,Jess,Amy,Adrian",8:06 PM,10:29 PM,SK09,Colubridae,Dipsas pavonina,Northern Snail Eater,10:10 PM,S 00°38.3807' W 076°09.1913',Owen,83.2,83.5,1.4,U,Varzea,30,clear,no wind,no mammals,arthropods,
6/23/24,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Puentes-Murcielago-Matapalo,,"O,M,Ramiro",8:00 PM,10:36 PM,,,,,,,,,,,,,54,clear,no wind,,,
6/27/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,YCHO-01,"O,T",8:07 PM,11:04 PM,SK10,Boidae,Epicrates cenchria,Western Rainbow Boa,8:20 PM,S 00°40.6223' W 076°24.4398',Owen,79.7,83.6,4,G,Varzea,12,clear,no wind,mostly mammals,mammals,
6/27/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,TINA-01,"O,T",8:07 PM,11:04 PM,SK11,Boidae,Epicrates cenchria,Western Rainbow Boa,10:49 PM,S 00°40.5218' W 076°23.9045',Owen,77.8,85.8,0.5,U,Terrafirme,12,clear,no wind,mostly mammals,mammals,
6/29/24,YRS,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,GAWA-02,"O,M,Dimitri",8:04 PM,11:19 PM,SK12,Colubridae,Chironius fuscus,Brown Sipo,8:35 PM,S 00°40.2144' W 076°23.9531' ,Mike,79.3,93.2,3.2,U,Varzea,6,clear,no wind,mixed,frogs,
7/2/24,YRS,Forest Plot Perimeter,,"O,T",8:00 PM,11:11 PM,,,,,,,,,,,,,0,rain,no wind,,,
