Date,Station,Survey_Type,Trail_Walked,Order,Meters,Survey_Start_Time,Survey_End_Time,Searching_Time,Surveyors,Understory_Density_1,Understory_Density_2,Understory_Density_3,Understory_Density_4,Understory_Density_5,Understory_Density_6,Understory_Density_7,Understory_Density_8,Understory_Density_9,Understory_Density_10,Understory_Density_11,Understory_Density_12,Understory_Density_13,Understory_Density_Final, Temperature_1, Temperature_2, Temperature_3, Temperature_4, Temperature_5, Temperature_6, Temperature_7,Temperature_8,Temperature_Final,Humidity_1,Humidity_2,Humidity_3,Humidity_4,Humidity_5,Humidity_6,Humidity_7,Humidity_8,Humidity_Final,Number_of_Small_Mammals_Spotted,Number_of_Water_Bodies_Spotted,,,Notes
6/3/25,TBS,Night,Numa-Chichico,"NUMA-01, CHIO-03, CHIO-02, CHIO-01",1960,8:49 PM,11:05 PM,1:53,"O,J",3,2,1,4,5,2,1,0,,,,,,3,77.9,79.7,79.4,79.3,,,,,79.7,93.1,86.2,86.1,87.5,,,,,90.1,1,8,,,no track on Gaia
6/4/25,TBS,Night,Anaconda-Lago,"ANAC-01, LAGO-02",1838,8:12 PM,10:32 PM,1:52,"O,J,T",2,1,3,1,1,5,2,1,,,,,,0,77.8,77.8,79.8,79.5,,,,,79.4,91,88.1,85.7,85.4,,,,,85.7,2,5,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,"MAPO-02, MAPO-03, MURC-01, MURC-02 PUEN-01, MAPO-04, MAPO-05, MAPO-06, CHIO-03, NUMA-02",2305,8:08 PM,11:02 PM,2:12,"O,J",2,3,3,7,0,2,1,2,0,,,,,1,73.4,74.5,75.6,74.3,75.7,,,,75.2,95.6,93.4,91.6,93.6,90,,,,92.6,1,3,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,"GUAC-01, GUAC-02, DANT-01, LAGO-01",1841,7:59 PM,10:26 PM,2:05,"O,J",2,1,2,0,2,5,0,1,4,,,,,3,77,77.1,79.4,78.7,78.8,,,,78.1,94,86.4,87.3,86.4,87.3,,,,91.5,2,4,,,
6/9/25,YRS,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"YCHO-01, KINK-01, NAPO-04, BARI-02, BARI-01, TINA-01, BOTA-01",2501,8:15 PM,11:03 PM,2:08,"O,J",2,1,2,1,1,2,2,1,1,,,,,4,82,80,75.9,76.7,79.8,,,,79.2,85.9,89.4,92.3,88.4,90,,,,91.1,4,7,,,
6/10/25,YRS,Night,Ceiba-Peru,"CEIB-01, PERU-01, PERU-02, PERU-03, PERU-04, PERU-05",2213,8:07 PM,10:33 PM,2:01,"O,J",3,2,0,0,0,1,2,0,1,,,,,2,79.3,80.8,80.4,79.6,79.4,,,,79.4,90.8,83.4,87.4,85.6,85.8,,,,85.8,7,5,,,
6/12/25,YRS,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,"GAWA-01, GAWA-02, GAWA-03, YCHO-02, KINK-01, NAPO-05, TUCA-01, GARZ-01",3332,8:01 PM,10:53 PM,2:22,"O,J",2,2,1,2,1,1,1,2,3,6,,,,4,78,79.3,80.4,77.7,78.4,,,,78.3,88.6,87.8,87.1,89.7,90.5,,,,90.4,9,5,,,
6/14/25,YRS,Night,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,"BOTA-01, TINA-01, TINA-02, NAPO-02, NAPO-03, BARI-02, TIMA-01, NAPO-01, PANT-01, BOTA-03, BOTA-02, GRFI-01",2256,8:04 PM,10:40 PM,1:52,"O,J",3,1,0,1,1,1,2,1,,,,,,0,78.1,79.1,79.2,73.9,,,,,76.3,89.8,89.3,88.4,97.3,,,,,97.5,7,4,,,
6/15/25,YRS,Night,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,"TORR-01, FPPE-06, FPPE-03, FPIN-01, FPPE-05, FPPE-01",2572,8:34 PM,11:24 PM,2:20,"O,J,Tristan,Fenton,Nora",1,1,0,2,1,2,0,4,0,3,,,,0,76.3,76.1,76.2,75.7,75.2,,,,74.4,96.9,95,96.2,96.5,96.4,,,,97.5,5,6,,,
6/17/25,YRS,Night,Forest Plot Perimeter,"FPPE-03, FPPE-04, FPPE-05, FPPE-02",3561,8:17 PM,11:35 PM,2:51,"O,J",1,5,3,1,2,1,2,0,2,6,0,1,,3,74.8,74.6,76.2,76.2,76,76.3,,,76.9,93.2,95.2,93,93.5,94.1,92.8,,,92.7,5,25,,,
