Date,Station,Survey_Type,Trail_Walked,Segment,Surveyors,Survey_Start_Time,Survey_End_Time,Gross_ID,Snake_ID,Family,Species,Common_Name,Time_Found_,GPS_Coordinates,Observor,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection,Distance_From_Trail_m,Height_of_Individual,Habitat_Type,Time_Window_of_Last_Rain_Event_h,Weather,Wind,Diet_Type,Primary_Diet_Component,Size,Notes
6/3/25,TBS,Night,Numa-Chichico,,"O,J",8:49 PM,11:05 PM,,,,,,,,,,,,,,18,partly cloudy,no wind,,,,no snakes
6/4/25,TBS,Night,Anaconda-Lago,LAGO-02,"O,J,T",8:12 PM,10:32 PM,Snake,SK53,Colubridae,Oxyrhopus occipitalis,Yellow-headed Flame Snake,9:18 PM,S 00º38.2584' W 076º09.6523',Owen,79.2,85.7,1.6,G,Varzea,6,cloudy,no wind,mixed,mixed,S,
6/4/25,TBS,Night,Anaconda-Lago,LAGO-02,"O,J,T",8:12 PM,10:32 PM,Snake,SK54,Colubridae,Drepanoides anomalus,Black-collared Snake,9:52 PM,S 00º38.2912' W 076º09.4701',Jacob,79.7,84.7,2,U,Varzea,6,cloudy,no wind,no mammals,eggs,XS,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MAPO-04,"O,J",8:08 PM,11:02 PM,Snake,SK55,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:54 PM,S 00º38.2982' W 076º08.7041',Owen,75.5,90.9,3.5,U,Terrafirme,6,partly cloudy,no wind,no mammals,lizards,S,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,DANT-01,"O,J",7:59 PM,10:26 PM,Snake,SK56,Viperidae,Bothrops bilineatus,Two-lined Forest Pitviper,9:15 PM,S 00º38.2662' W 076º09.2548',Owen,79,87.9,1.9,U,Varzea,30,clear,no wind,mixed,mixed,XS,
6/9/25,YRS,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,YCHO-01,"O,J",8:15 PM,11:03 PM,Snake,SK57,Colubridae,Hydrops triangularis,Triangle Watersnake,8:47 PM,S 00º40.4353' W 076º24.4447',Jacob,77.3,88.2,1.4,G,Varzea,18,cloudy,no wind,no mammals,fish,XS,
6/9/25,YRS,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,YCHO-01,"O,J",8:15 PM,11:03 PM,Snake,SK58,Viperidae,Bothrops bilineatus,Two-lined Forest Pitviper,9:22 PM,S 00º40.4353' W 076º24.4583',Jacob,80.5,88.4,6.8,U,Varzea,18,cloudy,no wind,mixed,mixed,S,
6/9/25,YRS,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,KINK-01,"O,J",8:15 PM,11:03 PM,Snake,SK59,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:43 PM,S 00º40.3130' W 076º24.3391',Owen,76.4,89.7,1.4,U,Terrafirme,18,cloudy,no wind,no mammals,lizards,S,
6/9/25,YRS,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,KINK-01,"O,J",8:15 PM,11:03 PM,Snake,SK60,Boidae,Corallus hortulanus,Amazon Tree Boa,9:54 PM,S 00º40.3297' W 076º24.2758',Owen,76.9,88.6,5.7,U,Terrafirme,0,rain,no wind,mostly mammals,mammals,M,
6/9/25,YRS,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,BARI-01,"O,J",8:15 PM,11:03 PM,Snake,SK61,Colubridae,Chironius fuscus,Brown Sipo,10:33 PM,S 00º40.4335' W 076º24.0267',Owen,79,90.2,3.2,U,Terrafirme,0,rain,no wind,mixed,frogs,XS,
6/10/25,YRS,Night,Ceiba-Peru,PERU-05,"O,J",8:07 PM,10:33 PM,Snake,SK62,Colubridae,Leptodeira approximans,Upper Amazon Cat-eyed Snake,10:15 PM,S 00º40.5277' W 076º23.2141',Owen,79.2,85.7,1.5,U,Terrafirme,18,clear,no wind,mixed,frogs,S,
6/12/25,YRS,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,GAWA-02,"O,J",8:01 PM,10:53 PM,Snake,SK63,Colubridae,Drymobius rhombifer,Diamond Racer,8:18 PM,S 00º40.3183' W 076º23.9689',Owen,81.7,82.5,0.3,U,Terrafirme,12,clear,no wind,no mammals,frogs,M,
6/12/25,YRS,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,GAWA-02,"O,J",8:01 PM,10:53 PM,Snake,SK64,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:42 PM,S 00º40.2058' W 076º23.9611',Owen,81,85.4,1.1,U,Varzea,12,clear,no wind,no mammals,lizards,S,
6/14/25,YRS,Night,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,,"O,J",8:04 PM,10:40 PM,,,,,,,,,,,,,,6,cloudy,no wind,,,,no snakes
