Snake Survey Data Sheet,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Trail_Walked,Surveyors,Survey_Start_Time,Survey_End_Time,Reptile_ID,Species,Common_Name,Time_Found_,GPS_Coordinates,Observor,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection,Distance_From_Trail_m,Height_of_Individual,Habitat_Type,Time_Window_of_Last_Rain_Event_h,Weather,Wind,Diet_Type,Primary_Diet_Component,Notes
,,,,,,,,,,,,,,,,,,,,,,
06/11/24*,TBS,Numa-Chichico-Matapalo,"O,M,T,A",8:37 PM,11:36 PM,SK0,Xenoxybelis argenteus,Striped Sharpnose Snake,10:14 PM,S 00°38.5950'  W 076°08.7456',Mike,,,6,U,Varzea,12,cloudy,no wind,no mammals,lizards,
06/11/24*,TBS,Numa-Chichico-Matapalo,"O,M,T,A",8:37 PM,11:36 PM,SK00,Imantodes cenchoa,Common Blunt-headed Tree Snake,11:13 PM,S 00°38.3980' W 076°08.9387',Mike,,,0.5,U,Varzea,12,cloudy,no wind,no mammals,lizards,
06/13/24,TBS,Guacamayo-Danta-Lago,"O,M,T",8:59 PM,11:54 PM,SK01,Dipsas catesbyi,Catesby's Snail Eater,10:33 PM,S 00°38.324' W 076°09.224',Mike,80.8,83.7,3.5,U,Varzea,6,partly cloudy,no wind,no mammals,arthropods,rain at end of survey
06/13/24,TBS,Guacamayo-Danta-Lago,"O,M,T",8:59 PM,11:54 PM,SK02,Dipsas catesbyi,Catesby's Snail Eater,11:07 PM,S 00°38.3868' W 076°09.2344',Mike,83,79.8,0.5,U,Varzea,6,partly cloudy,no wind,no mammals,arthropods,rain at end of survey
06/17/24,TBS,Matapalo-Torre-Murcielago-Matapalo-Numa,"O,T",8:04 PM,12:11 AM,SK03,Oxyrhopus petolarius,Forest Flame Snake,8:47 PM,S 00°38.2292' W 076°08.7913',Owen,79.3,93.2,0,G,Terrafirme,24,clear,no wind,mixed,mixed,
06/17/24,TBS,Matapalo-Torre-Murcielago-Matapalo-Numa,"O,T",8:04 PM,12:11 AM,SK04,Drepanoides anomalus,Black-collared Snake,11:51 PM,S 00°38.2159' W 076°08.8751',Owen,77.2,91.6,2,U,Terrafirme,24,clear,no wind,no mammals,eggs,
06/17/24,TBS,Matapalo-Torre-Murcielago-Matapalo-Numa,"O,T",8:04 PM,12:11 AM,SK05,Imantodes cenchoa,Common Blunt-headed Tree Snake,11:59 PM,S 00°38.2150' W 076°08.8750',Owen,77.2,91.6,3,U,Varzea,24,clear,no wind,no mammals,lizards,
06/19/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,"O,M,Jess,Amy",7:58 PM,10:50 PM,SK06,Chironius multiventris,South American Sipo,8:31 PM,S 00°37.9299' W 076°09.3697',Owen,76.9,92.2,2,U,Terrafirme,6,cloudy,no wind,no mammals,frogs,
06/22/24,TBS,Anaconda-Lago,"O,T,Jess,Amy,Adrian",8:06 PM,10:29 PM,SK07,Siphlophis cervinus,Panama Spotted Nightsnake,9:21 PM,S 00°38.2567' W 076°09.5111',Owen,83.1,79.7,1.75,U,Varzea,30,clear,no wind,no mammals,lizards,
06/22/24,TBS,Anaconda-Lago,"O,T,Jess,Amy,Adrian",8:06 PM,10:29 PM,SK08,Dipsas catesbyi,Catesby's Snail Eater,10:03 PM,S 00°38.3870' W 076°09.2314',Adrian,83.2,83.5,1.3,U,Varzea,30,clear,no wind,no mammals,arthropods,
06/22/24,TBS,Anaconda-Lago,"O,T,Jess,Amy,Adrian",8:06 PM,10:29 PM,SK09,Dipsas pavonina,Northern Snail Eater,10:10 PM,S 00°38.3807' W 076°09.1913',Owen,83.2,83.5,1.4,U,Varzea,30,clear,no wind,no mammals,arthropods,
06/23/24,TBS,Matapalo-Murcielago-Murcielago Pond,"O,M,Ramiro",8:00 PM,10:36 PM,,,,,,,,,,,,54,clear,no wind,,,
06/27/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"O,T",8:07 PM,11:04 PM,SK10,Epicrates cenchria,Western Rainbow Boa,8:20 PM,S 00°40.6223' W 076°24.4398',Owen,79.7,83.6,4,G,Varzea,12,clear,no wind,mostly mammals,rodents,
06/27/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"O,T",8:07 PM,11:04 PM,SK11,Epicrates cenchria,Western Rainbow Boa,10:49 PM,S 00°40.5218' W 076°23.9045',Owen,77.8,85.8,0.5,U,Terrafirme,12,clear,no wind,mostly mammals,rodents,
06/29/24,YRS,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,"O,M,Dimitri",8:04 PM,11:19 PM,SK12,Chironius fuscus,Brown Sipo,8:35 PM,S 00°40.2144' W 076°23.9531' ,Mike,79.3,93.2,3.2,U,Varzea,6,clear,no wind,mixed,frogs,
07/02/24,YRS,Forest Plot Perimeter,"O,T",8:00 PM,11:11 PM,,,,,,,,,,,,0,rain,no wind,,,
07/03/24,YRS,Ceiba-Peru,"O,M",8:11 PM,11:07 PM,SK13,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:45 PM,S 00°40.6490' W 076°23.6095',Owen,77.3,93.2,2.5,U,Terrafirme,12,cloudy,no wind,no mammals,lizards,
07/04/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"O,Sophia",8:12 PM,11:00 PM,SK14,Leptodeira approximans,Upper Amazon Cat-eyed Snake,8:48 PM,S 00°40.5370' W 076°24.4967' ,Owen,78.3,87,0.3,U,Terrafirme,6,cloudy,no wind,mixed,frogs,
07/04/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,"O,Sophia",8:12 PM,11:00 PM,SK15,Dipsas pavonina,Northern Snail Eater,9:27 PM,S 00°40.3463' W 076°24.3769',Owen,78.4,94.7,0.5,U,Varzea,6,cloudy,no wind,no mammals,arthropods,
07/06/24,YRS,Forest Plot Perimeter,"O,A",8:29 PM,11:28 PM,,,,,,,,,,,,12,clear,no wind,,,
07/08/24,TBS,Matapalo-Torre-Murcielago-Murcielago Pond-Matapalo-Numa,"O,Ethan",8:01 PM,10:53 PM,,,,,,,,,,,,24,clear,no wind,,,
07/10/24,TBS,Guacamayo-Danta-Lago,"O,M",8:07 PM,10:58 PM,,,,,,,,,,,,6,clear,no wind,,,
07/11/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,"O,T",8:08 PM,10:57 PM,,,,,,,,,,,,6,partly cloudy,no wind,,,
07/14/24,TBS,Harpia Plot-Harpia,"O,T",8:51 PM,12:05 AM,SK16,Imantodes lentiferus,Amazon Blunt-headed Tree Snake,10:14 PM,S0° 38.003' W76° 08.195',Owen,77.5,85.5,2.8,U,Terrafirme,12,clear,no wind,no mammals,lizards,
07/14/24,TBS,Harpia Plot-Harpia,"O,T",8:51 PM,12:05 AM,SK17,Oxyrhopus petolarius,Forest Flame Snake,11:48 PM,S0° 38.112' W76° 08.806',Owen,77.4,85.6,2.3,U,Terrafirme,12,clear,no wind,mixed,mixed,
07/14/24,TBS,Harpia Plot-Harpia,"O,T",8:51 PM,12:05 AM,SK18,Imantodes cenchoa,Common Blunt-headed Tree Snake,11:52 PM,S0° 38.138' W76° 08.822',Therese,77.4,85.6,1.6,U,Terrafirme,12,clear,no wind,no mammals,lizards,
07/15/24,TBS,Anaconda-Lago,"O,M",8:14 PM,11:42 PM,SK19,Drepanoides anomalus,Black-collared Snake,9:10 PM,S0° 38.251' W76° 09.759',Owen,75.7,92.4,2.8,U,Varzea,24,clear,no wind,no mammals,eggs,
07/15/24,TBS,Anaconda-Lago,"O,M",8:14 PM,11:42 PM,SK20,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:02 PM,S0° 38.269' W76° 09.498',Owen,75.1,91.4,0.3,U,Varzea,24,clear,no wind,no mammals,lizards,
07/15/24,TBS,Anaconda-Lago,"O,M",8:14 PM,11:42 PM,SK21,Chironius fuscus,Brown Sipo,10:12 PM,S0° 38.288' W76° 09.463',Owen,77.7,86.5,0.2,U,Varzea,24,clear,no wind,mixed,frogs,
