Start_Date,End_Date,Station,Trail_Walked,Order,Meters,Survey_Start_Time,Survey_End_Time,Searching_Time,Surveyors,Understory_Density_1,Understory_Density_2,Understory_Density_3,Understory_Density_4,Understory_Density_5,Understory_Density_6,Understory_Density_7,Understory_Density_8,Understory_Density_9,Understory_Density_10,Understory_Density_11,Understory_Density_12,Understory_Density_13,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Temperature_5,Temperature_6,Temperature_7,Humidity_1,Humidity_2,Humidity_3,Humidity_4,Humidity_5,Humidity_6,Humidity_7,Number_of_Small_Mammals_Spotted,Number_of_Water_Bodies_Spotted,Notes,Understory_Density_Final,Humidity_8,Humidity_Final,Temperature_8,Temperature_Final
7/16/2025,7/16/2025,YRS,Coca-Ceiba-Peru-Renacuajo-Mirador,"COCA-01, CEIB-02, PERU-01, RENA-01, MIRA-01",1836,8:21 PM,10:24 PM,1:33,"O,J,JP",0,3,4,2,1,0,7,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,5,3,NA,2,,,,
7/15/2025,7/15/2025,YRS,Chorongo-Kinkajou-Napo,"YCHO-01, KINK-01, NAPO-05, NAPO-06",2084,8:30 PM,10:12 PM,1:31,"O,J,JP,Nora",2,1,2,2,6,2,3,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,5,2,NA,4,,,,
7/14/2025,7/14/2025,YRS,Mirador,"MIRA-04, MIRA-03, MIRA-02, MIRA-01",2060,8:34 PM,10:56 PM,2:09,"O,J,JP",1,2,2,5,4,2,2,1,1,NA,NA,NA,NA,,,,,,,,,,,,,,,10,7,NA,3,,,,
7/13/2025,7/13/2025,YRS,Botanico-Tinamou-Napo-Timatai-Bariso,"BOTA-01, TINA-01, TINA-02, NAPO-01, NAPO-02, TIMA-01, BARI-01",1738,8:51 PM,10:41 PM,1:37,"O,J,JP,Dillon",1,2,3,0,2,4,3,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,3,5,NA,2,,,,
7/11/2025,7/11/2025,YRS,Gawape-Chorongo-Kinkajou,"GAWA-01, GAWA-02, GAWA-03, YCHO-02, KINK-01",2626,8:14 PM,10:40 PM,2:02,"O,J,JP",5,2,6,2,2,4,3,0,2,NA,NA,NA,NA,72.5,72.6,73.8,72.3,73.4,NA,NA,94.2,95.5,92.3,95.4,96.8,NA,NA,5,7,NA,1,NA,95.1,NA,74
7/9/2025,7/9/2025,YRS,Coca-Ceiba,"COCA-01, CEIB-02",764,8:45 PM,9:34 PM,0:40,"O,J",0,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.5,71.3,NA,NA,NA,NA,NA,92.1,96.4,NA,NA,NA,NA,NA,2,2,NA,8,NA,95.6,NA,71.2
7/8/2025,7/8/2025,YRS,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,"PANT-01, NAPO-01, NAPO-02, NAPO-03, BARI-02, TIMA-01, TINA-02, TINA-01, BOTA-02, BOTA-03, GRFI-01, BOTA-01",2256,8:18 PM,10:59 PM,1:49,"O,J,JP",3,6,0,2,0,11,2,5,NA,NA,NA,NA,NA,74.6,73.9,75.2,74.3,NA,NA,NA,94.7,96.1,96.7,96.4,NA,NA,NA,5,3,NA,4,NA,97.1,NA,75.8
7/7/2025,7/7/2025,YRS,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,"TORR-01, FPPE-06, FPPE-03, FPIN-01, FPPE-05, FPPE-01",2572,8:26 PM,11:02 PM,2:11,"O,J,JP",0,0,1,2,2,1,10,3,3,NA,NA,NA,NA,76.6,76.4,75.1,74,74.1,NA,NA,92.7,96.1,94,94.8,96.3,NA,NA,7,8,NA,1,NA,95.2,NA,74.6
7/6/2025,7/6/2025,YRS,Chorongo-Kinkajou-Napo-Tucan-Garza-Napo,"YCHO-01, KINK-01, NAPO-05, TUCA-01, GARZ-02, NAPO-06",2606,8:13 PM,10:38 PM,2:12,"O,J,JP",3,0,1,2,1,0,1,3,0,NA,NA,NA,NA,74.6,75.1,74.2,74.4,75.3,NA,NA,95.7,94.8,96.6,95.7,97.1,NA,NA,8,4,NA,1,NA,95,NA,74.7
7/5/2025,7/5/2025,YRS,Coca-Ceiba-Peru-Tiputini-Peru,"COCA-01, CEIB-02, PERU-01, PERU-02, PERU-03, TIPU-01, PERU-04, PERU-05",2628,8:26 PM,11:30 PM,2:14,"O,J,JP",5,7,3,2,2,0,3,4,2,NA,NA,NA,NA,77.2,73.5,73.4,73.2,71.9,NA,NA,84.9,93.6,93.9,94.4,93.7,NA,NA,6,6,NA,2,NA,94.3,NA,71.9
