Snake Non-Survey Data Sheet,,,,,,,,,,,,,,,,,,,,
Date,Station,Location_Found,Type_of_Encounter,Observor,During_My_Rotation ,Snake_ID,Species,Common_Name,Time_Found,GPS_Coordinates,Height_of_Individual,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection,Time_Window_of_Last_Rain_Event_h,Habitat_Type,Weather,Wind,Diet_Type,Primary_Diet_Component,Method_of_Detection
06/12/24,TBS,Matapalo-Torre 1,OE,Owen McCool,Yes,OESK01,Chironius multiventris,South American Sipo,1:32 PM,S 00°38.2242' W 076°08.7647',G,,,6,Terrafirme,cloudy,no wind,no mammals,frogs,scouting for fruiting trees
06/15/24,TBS,Matapalo-Harpia,TPE,Sam Rettke,Yes,TPSK01,Colubridae,Probably Ground Snake,9:35 AM,S 00°38.2153' W 076°08.8683',G,,,6,Terrafirme,cloudy,no wind,,,seaarching for monkeys
06/15/24,TBS,Guacamayo ,TPE,Therese Lamperty,Yes,TPSK02,Colubridae,Probably SA Sipo,9:55 AM,S 00°38.0881' W 076°09.1744',G,,,6,Terrafirme,partly cloudy,no wind,,,collecting seeds
06/15/24,TBS,Torre 1,TPE,Kelly's Students,Yes,TPSK03,Dipsas catesbyi,Catesby's Snail Eater,11:30 AM,S 00°38.2682' W 076°08.7494',C,,,12,Terrafirme,cloudy,no wind,no mammals,arthropods,student group hike
06/18/24,TBS,Camp by Lab,OE,Owen McCool,Yes,OESK02,Chironius scurrula,Wagler's Sipo,2:26 PM,S 00°38.2224' W 076°09.0022',G,83.2,83.4,36,Terrafirme,clear,felt on face,no mammals,frogs,by chance walking around lab
06/18/24,TBS,River Dock,TPE,Mike Ellis,Yes,TPSK04,Helicops pastazae,Shreve's Keelback,2:39 PM,S 00°38.2918' W 076°08.9560',G,74.2,84.8,36,Varzea,clear,no wind,no mammals,fish,birding at dock
06/18/24,TBS,Camp by Dining Hall,OE,Owen McCool,Yes,OESK03,Oxyrhopus occipitalis,Yellow-headed Flame Snake,7:03 PM,S 00°38.2868' W 076°08.9572',G,76.6,97.7,42,Terrafirme,clear,no wind,mixed,mixed,by chance walking to dinner
06/22/24,TBS,Danta,TPE,Amy Doherty,Yes,TPSK05,Xenoxybelis argenteus,Striped Sharpnose Snake,7:58 AM,S 00°38.279' W 076°09.244',U,,,18,Varzea,clear,no wind,no mammals,lizards,work retreat group hike
06/22/24,TBS,Puma Plot Westernmost Transect,TPE,Sam Rettke,Yes,TPSK06,Chironius multiventris,South American Sipo,3:45 PM,S 00°37.4420' W 076°09.7280',G,,,24,Terrafirme,clear,no wind,no mammals,frogs,seaarching for monkeys
06/26/24,YRS,Canal by Block C,OE,Owen McCool,Yes,OESK04,Eunectes murinus,Green Anaconda,12:54 PM,S 00°40.4336' W 076°23.8879',G,78.6,82.8,0,Varzea,rain,felt on face,mostly mammals,mammals,by chance walking to lunch
06/28/24,YRS,Ceiba,TPE,Dimitri,Yes,TPSK07,Bothrops atrox,Common Lancehead,10:18 PM,S 00°40.5000' W 076°23.8015',G,,,48,Varzea,partly cloudy,no wind,mixed,frogs,student group hike
06/29/24,YRS,Southwest Corner Forest Plot,TPE,Peter,Yes,TPSK08,Colubridae,Probably Ground Snake/Sipo,11:42 AM,S 00°41.1156' W 076°24.2471',G,,,6,Terrafirme,clear,no wind,,,forest plot research
06/28/24,YRS,Botanico,TPE,Benjamin,Yes,TPSK11,Oxyrhopus occipitalis,Yellow-headed Flame Snake,10:13 PM,S 00°40.5194' W 076°23.9051',U,,,36,Terrafirme,clear,no wind,mixed,mixed,student group hike
06/28/24,YRS,Botanico,TPE,Mateo,Yes,TPSK09,Imantodes cenchoa,Blunt-headed Tree Snake,10:14 PM,S 00°40.5189' W 076°23.9035',U,,,36,Terrafirme,clear,no wind,no mammals,lizards,student group hike
06/28/24,YRS,Maxus Road,TPE,Sophia,Yes,TPSK10,Tantilla melanocephala,Black-headed Snake,4:15 PM,S 00°40.836' W 076°23.6814',G,,,6,Terrafirme,clear,no wind,no mammals,arthropods,going for run on road
06/27/24,TBS,Guacamayo ,TPE,Sam Rettke,No,TPSK12,Epicrates cenchria,Western Rainbow Boa,10:30 AM,S 00°37.9756' W 076°09.7962,G,,,6,Terrafirme,cloudy,no wind,mostly mammals,mammals,searching for monkeys
06/11/24,YRS,Central Forest Plot,TPE*,Kai,No,TPSK13,Drymarchon corais,Yellowtail Cribo,9:30 AM,S 00°40.9783' W 076°24.0218,G,,,6,Terrafirme,clear,no wind,mixed,mammals,forest plot research
07/01/24,YRS,Flooded Roadway by Camp,OE,Owen McCool,Yes,OESK06,Helicops angulatus,Brown-banded Watersnake,7:59 PM,S 00°40.4118' W 076°23.8843',G,,,6,Varzea,cloudy,branches move,no mammals,fish,intentionally searching flooded pond at camp
07/01/24,YRS,Flooded Roadway by Camp,OE,Owen McCool,Yes,OESK07,Helicops angulatus,Brown-banded Watersnake,8:54 PM,S 00°40.4306' W 076°23.8885',G,,,6,Varzea,cloudy,branches move,no mammals,fish,intentionally searching flooded pond at camp
07/02/24,YRS,South Edge Forest Plot,OE,Owen McCool,Yes,OESK05,Drymarchon corais,Yellowtail Cribo,11:22 AM,S 00°41.1420' W 076°24.1726',G,,,6,Terrafirme,cloudy,no wind,mixed,mammals,setting up seed exclosures 
