"","Station","Start_Date","Parent_Trail_LongName","n_snakes","mean_relative_humidity","mean_temp_F","mean_understory_leaves","Meters","Effort_hrs","n_snakes_hr"
"1","TBS",2024-06-11,"Numa-Chichico-Matapalo-Chichico-Numa",2,NA,NA,NA,2648,2.98333333333333,0.670391061452514
"2","TBS",2024-06-13,"Guacamayo-Danta-Lago",2,81.2333333333333,81.5583333333333,4.33333333333333,1841,2.91666666666667,0.685714285714286
"3","TBS",2024-06-17,"Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo",3,88.8714285714286,83.9071428571429,4.38461538461539,2600,3.01666666666667,0.994475138121547
"4","TBS",2024-06-19,"Guacamayo-Puma-Harpia-Chorongo-Guacamayo",1,92.2,84.425,3.5,2868,2.86666666666667,0.348837209302326
"5","TBS",2024-06-21,"Matapalo-Harpia",0,92.1,84.2,2.6,706,1.41666666666667,0
"6","TBS",2024-06-22,"Anaconda-Lago",3,81.72,82.17,2.9,2557,2.38333333333333,1.25874125874126
"7","TBS",2024-06-23,"Matapalo-Murcielago-Puentes-Murcielago Pond-Puentes-Murcielago-Matapalo",0,90.5833333333333,85.0916666666667,3.54545454545455,1956,2.6,0
"8","TBS",2024-07-08,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",0,87.7666666666667,81.3333333333333,1.41666666666667,2790,2.81666666666667,0
"9","TBS",2024-07-10,"Guacamayo-Danta-Lago",0,94.4666666666667,85.3083333333333,1.27272727272727,1841,2.71666666666667,0
"10","TBS",2024-07-11,"Guacamayo-Puma-Harpia-Chorongo-Guacamayo",0,82.8166666666667,81.1666666666667,2.25,2638,2.75,0
"11","TBS",2024-07-14,"Harpia Plot-Harpia",3,85.3857142857143,81.6857142857143,2.61538461538462,2703,3,1
"12","TBS",2024-07-15,"Anaconda-Lago",6,91.6,83.4214285714286,2.38461538461538,1838,3,2
"13","TBS",2024-07-17,"Puma-Puma Plot",7,88.95,81.875,1.41666666666667,2772,2.76666666666667,2.53012048192771
"14","TBS",2024-07-18,"Harpia Plot-Harpia-Matapalo",3,90.2166666666667,84.1833333333333,2.36363636363636,2926,2.51666666666667,1.19205298013245
"15","TBS",2024-07-20,"Puma-Puma Plot",1,96.7666666666667,85.125,1.41666666666667,3217,2.83333333333333,0.352941176470588
"16","TBS",2025-06-03,"Numa-Chichico",0,88.6,79.2,2.33333333333333,1960,1.88333333333333,0
"17","TBS",2025-06-04,"Anaconda-Lago",2,87.18,78.86,1.77777777777778,1838,1.86666666666667,1.07142857142857
"18","TBS",2025-06-06,"Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa",1,92.8,74.7833333333333,2.1,2305,2.2,0.454545454545455
"19","TBS",2025-06-07,"Guacamayo-Danta-Lago",1,88.8166666666667,78.1833333333333,2,1841,2.08333333333333,0.48
"20","TBS",2025-06-20,"Guacamayo-Puma-Harpia-Chorongo",3,88.1166666666667,77.85,2.66666666666667,2638,2.3,1.30434782608696
"21","TBS",2025-06-21,"Parahuaco",1,91.9428571428571,76.3857142857143,1.46153846153846,3522,2.9,0.344827586206897
"22","TBS",2025-06-23,"Puma-Puma Plot",1,87.25,81.6166666666667,1.81818181818182,2819,2.4,0.416666666666667
"23","TBS",2025-06-25,"Harpia Plot-Harpia",1,93.2666666666667,78.5166666666667,2.3,2703,2.1,0.476190476190476
"24","TBS",2025-06-26,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2,94.0666666666667,76.4166666666667,1.54545454545455,2768,2.3,0.869565217391304
"25","TBS",2025-06-27,"Guacamayo-Danta-Lago",1,87.38,79.38,2.5,1841,1.71666666666667,0.58252427184466
"26","TBS",2025-06-28,"Guacamayo-Puma-Harpia-Chorongo",2,93.9166666666667,74.95,1.4,2638,2.13333333333333,0.9375
"27","TBS",2025-06-29,"Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa",3,93.2285714285714,75.7285714285714,2.58333333333333,3004,2.53333333333333,1.18421052631579
"28","TBS",2025-06-30,"Puma-Puma Plot",1,91.9,77.4833333333333,1.90909090909091,2826,2.38333333333333,0.41958041958042
"29","TBS",2025-07-01,"Harpia Plot-Harpia",0,95.9,76.1833333333333,1.27272727272727,2703,2.3,0
"30","TBS",2025-07-02,"Anaconda-Lago",1,93.7333333333333,72.5333333333333,2.27272727272727,2557,2.31666666666667,0.431654676258993
"31","YRS",2024-06-27,"Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico",2,84.6,81.6,1.83333333333333,2501,2.73333333333333,0.731707317073171
"32","YRS",2024-06-29,"Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza",1,92.1714285714286,85.6928571428571,2.84615384615385,3332,3.1,0.32258064516129
"33","YRS",2024-07-02,"Forest Plot Perimeter",0,85.7,82.4928571428571,1.76923076923077,3561,3,0
"34","YRS",2024-07-03,"Ceiba-Peru",1,92.92,85.13,3.1,2213,2.46666666666667,0.405405405405405
"35","YRS",2024-07-04,"Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico",2,89.0166666666667,83.5583333333333,2.54545454545455,2501,2.66666666666667,0.75
"36","YRS",2024-07-06,"Forest Plot Perimeter",0,93.8333333333333,83.3666666666667,1.33333333333333,3561,2.86666666666667,0
"37","YRS",2024-07-23,"Tinamou-Napo-Pantano-Botanico-Gran Ficus",3,89,83.85,1.44444444444444,1646,2.1,1.42857142857143
"38","YRS",2024-07-25,"Forest Plot North Edge-Forest Plot Interior-Forest Plot North Edge-Torre",1,85.94,82.62,1.88888888888889,2572,2.03333333333333,0.491803278688525
"39","YRS",2024-07-26,"Gawape-Garza-Tucan-Napo-Kinkajou-Chorongo-Tucan-Gawape",3,92.5166666666667,84.8583333333333,2.5,3332,2.76666666666667,1.08433734939759
"40","YRS",2024-07-28,"Peru-Ceiba",1,89.4,82.8166666666667,2.66666666666667,2213,2.93333333333333,0.340909090909091
"41","YRS",2024-07-29,"Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico",2,92.18,85.02,2.6,2501,2.25,0.888888888888889
"42","YRS",2024-07-31,"Torre-Forest Plot North Edge-Forest Plot Interior",2,93.3285714285714,85.1857142857143,2.76923076923077,2110,3,0.666666666666667
"43","YRS",2024-08-01,"Tinamou-Napo-Pantano-Botanico-Gran Ficus",5,92.05,83.4125,2.375,1646,1.96666666666667,2.54237288135593
"44","YRS",2025-06-09,"Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico",5,89.5166666666667,78.9333333333333,1.7,2501,2.13333333333333,2.34375
"45","YRS",2025-06-10,"Ceiba-Peru",1,86.4666666666667,79.8166666666667,1.1,2213,2.01666666666667,0.495867768595041
"46","YRS",2025-06-12,"Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza",2,89.0166666666667,78.6833333333333,2.27272727272727,3332,2.36666666666667,0.845070422535211
"47","YRS",2025-06-14,"Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus",0,92.46,77.32,1.11111111111111,2256,1.86666666666667,0
"48","YRS",2025-06-15,"Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter",3,96.4166666666667,75.65,1.27272727272727,2572,2.33333333333333,1.28571428571429
"49","YRS",2025-06-17,"Forest Plot Perimeter",0,93.5,75.8571428571429,2.07692307692308,3561,2.85,0
"50","YRS",2025-06-18,"Mirador",0,94.04,77.94,2.25,2060,1.7,0
"51","YRS",2025-07-04,"Forest Plot Perimeter",2,92.9,73.075,2.5,3561,3.05,0.655737704918033
"52","YRS",2025-07-05,"Coca-Ceiba-Peru-Tiputini-Peru",4,92.4666666666667,73.5166666666667,3,2628,2.23333333333333,1.7910447761194
"53","YRS",2025-07-06,"Chorongo-Kinkajou-Napo-Tucan-Garza-Napo",2,95.8166666666667,74.7166666666667,1.2,2606,2.2,0.909090909090909
"54","YRS",2025-07-07,"Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter",1,94.85,75.1333333333333,2.3,2572,2.18333333333333,0.458015267175573
"55","YRS",2025-07-08,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",3,96.2,74.76,3.66666666666667,2256,1.81666666666667,1.65137614678899
"56","YRS",2025-07-09,"Coca-Ceiba",1,94.7,71.3333333333333,4.25,764,0.666666666666667,1.5
"57","YRS",2025-07-11,"Gawape-Chorongo-Kinkajou",0,94.8833333333333,73.1,2.7,2626,2.03333333333333,0
"58","YRS",2025-07-13,"Botanico-Tinamou-Napo-Timatai-Bariso",0,97.32,72.68,2.125,1738,1.61666666666667,0
"59","YRS",2025-07-14,"Mirador",2,96.9666666666667,76.2666666666667,2.3,2060,2.15,0.930232558139535
"60","YRS",2025-07-15,"Chorongo-Kinkajou-Napo",0,97.5,75.72,2.75,2084,1.51666666666667,0
"61","YRS",2025-07-16,"Coca-Ceiba-Peru-Renacuajo-Mirador",1,97.36,74.28,2.375,1836,1.55,0.645161290322581
